id: 10593 , bb_dists : 91.000000
id: 46367 , bb_dists : 11.000000
id: 12896 , bb_dists : 98.653443
id: 63115 , bb_dists : 21.724138
id: 12551 , bb_dists : 17.000000
id: 41150 , bb_dists : 12.000000
id: 45272 , bb_dists : 99.023154
id: 46399 , bb_dists : 22.081462
id: 26629 , bb_dists : 87.158406
id: 53582 , bb_dists : 80.122283
id: 6437 , bb_dists : 19.242291
id: 51647 , bb_dists : 86.000000
id: 56729 , bb_dists : 29.000000
id: 42478 , bb_dists : 74.000000
id: 26834 , bb_dists : 77.470968
id: 27045 , bb_dists : 90.725275
id: 39133 , bb_dists : 11.000000
id: 24898 , bb_dists : 18.921502
id: 31972 , bb_dists : 100.298507
id: 16887 , bb_dists : 74.000000
id: 38765 , bb_dists : 11.000000
id: 53694 , bb_dists : 84.841969
id: 47391 , bb_dists : 20.802011
id: 10198 , bb_dists : 77.470968
id: 41630 , bb_dists : 21.954545
id: 29908 , bb_dists : 96.186528
id: 31828 , bb_dists : 79.101737
id: 56670 , bb_dists : 95.547256
id: 24965 , bb_dists : 94.116266
id: 49983 , bb_dists : 94.706789
id: 25829 , bb_dists : 99.296482
id: 10166 , bb_dists : 25.000000
id: 20577 , bb_dists : 11.000000
id: 53790 , bb_dists : 96.826188
id: 34764 , bb_dists : 11.478261
id: 11057 , bb_dists : 95.755632
id: 26690 , bb_dists : 24.313725
id: 23366 , bb_dists : 94.325166
id: 23654 , bb_dists : 95.343462
id: 20023 , bb_dists : 94.325166
id: 21254 , bb_dists : 101.000000
id: 41161 , bb_dists : 85.154195
id: 45448 , bb_dists : 61.000000
id: 26661 , bb_dists : 84.497041
id: 14000 , bb_dists : 81.000000
id: 4019 , bb_dists : 95.053546
id: 18576 , bb_dists : 22.775510
id: 8822 , bb_dists : 23.843137
id: 40029 , bb_dists : 17.837838
id: 1076 , bb_dists : 16.864865
id: 40394 , bb_dists : 84.152013
id: 34588 , bb_dists : 22.019835
id: 24422 , bb_dists : 97.351079
id: 3700 , bb_dists : 12.923077
id: 2932 , bb_dists : 12.600000
id: 54750 , bb_dists : 98.773869
id: 58586 , bb_dists : 11.000000
id: 47720 , bb_dists : 94.325166
id: 14768 , bb_dists : 89.095346
id: 18647 , bb_dists : 97.908163
id: 14496 , bb_dists : 97.351079
id: 47192 , bb_dists : 83.000000
id: 23078 , bb_dists : 84.497041
id: 10929 , bb_dists : 88.160438
id: 24278 , bb_dists : 100.037555
id: 44078 , bb_dists : 16.405063
id: 40282 , bb_dists : 94.325166
id: 17127 , bb_dists : 85.154195
id: 48815 , bb_dists : 23.000000
